model,folder,parts_count,pdf,status,file_count
YT-828063,YT-828063 YT-828064 YT-828065,37,assets/robocze-pdf/yt-828063-yt-828064-yt-828065.pdf,parts-from-docx,3
YT-828064,YT-828063 YT-828064 YT-828065,37,assets/robocze-pdf/yt-828063-yt-828064-yt-828065.pdf,parts-from-docx,3
YT-828065,YT-828063 YT-828064 YT-828065,37,assets/robocze-pdf/yt-828063-yt-828064-yt-828065.pdf,parts-from-docx,3
YT-822103,YT-822103,0,assets/robocze-pdf/yt-822103.pdf,drawing-only,2
YT-821583,YT-821583,90,assets/robocze-pdf/yt-821583.pdf,parts-from-docx,2
YT-821915,YT-821915 YT-821916,24,assets/robocze-pdf/yt-821915-yt-821916.pdf,parts-from-docx,3
YT-821916,YT-821915 YT-821916,24,assets/robocze-pdf/yt-821915-yt-821916.pdf,parts-from-docx,3
YT-821533,YT-821533,1,assets/robocze-pdf/yt-821533.pdf,parts-from-docx,2
YT-821710,YT-821710,145,assets/robocze-pdf/yt-821710.pdf,parts-from-docx,2
YT-820507,YT-820507,104,assets/robocze-pdf/yt-820507.pdf,parts-from-docx,2
YT-372163,YT-372163 YT-372164 YT-372165,19,assets/robocze-pdf/yt-372163-yt-372164-yt-372165.pdf,parts-from-docx,2
YT-372164,YT-372163 YT-372164 YT-372165,19,assets/robocze-pdf/yt-372163-yt-372164-yt-372165.pdf,parts-from-docx,2
YT-372165,YT-372163 YT-372164 YT-372165,19,assets/robocze-pdf/yt-372163-yt-372164-yt-372165.pdf,parts-from-docx,2
YT-821591,YT-821591,87,assets/robocze-pdf/yt-821591.pdf,parts-from-docx,1
YT-821722,YT-821722,123,assets/robocze-pdf/yt-821722.pdf,parts-from-docx,2
YT-821021,YT-821021,0,assets/robocze-pdf/yt-821021.pdf,drawing-only,2
YT-820500,YT-820500,63,assets/robocze-pdf/yt-820500.pdf,parts-from-docx,2
YT-821023,YT-821023,58,assets/robocze-pdf/yt-821023.pdf,parts-from-docx,1
YT-821020,YT-821020,46,assets/robocze-pdf/yt-821020.pdf,parts-from-docx,2
YT-821024,YT-821024,1,assets/robocze-pdf/yt-821024.pdf,parts-from-docx,1
YT-821210,YT-821210,91,assets/robocze-pdf/yt-821210.pdf,parts-from-docx,2
YT-820501,YT-820501,91,assets/robocze-pdf/yt-820501.pdf,parts-from-docx,2
YT-99743,YT-99743,0,assets/robocze-pdf/yt-99743.pdf,empty,1
